,Statistic,tumor_stage,value,MCCV
2,FN,i,12,801
3,TN,i,4,801
4,TP,ii,0,801
0,TP,i,4,802
1,FP,i,5,802
2,FN,i,7,802
3,TN,i,5,802
4,TP,ii,0,802
0,TP,i,1,803
1,FP,i,7,803
2,FN,i,6,803
3,TN,i,7,803
4,TP,ii,0,803
0,TP,i,5,804
1,FP,i,3,804
2,FN,i,6,804
3,TN,i,7,804
4,TP,ii,2,804
0,TP,i,1,805
1,FP,i,3,805
2,FN,i,11,805
3,TN,i,6,805
4,TP,ii,1,805
0,TP,i,4,806
1,FP,i,5,806
2,FN,i,6,806
3,TN,i,6,806
4,TP,ii,0,806
0,TP,i,6,807
1,FP,i,7,807
2,FN,i,3,807
3,TN,i,5,807
4,TP,ii,1,807
0,TP,i,2,808
1,FP,i,2,808
2,FN,i,9,808
3,TN,i,8,808
4,TP,ii,0,808
0,TP,i,2,809
1,FP,i,4,809
2,FN,i,4,809
3,TN,i,11,809
4,TP,ii,1,809
0,TP,i,3,810
1,FP,i,6,810
2,FN,i,6,810
3,TN,i,6,810
4,TP,ii,0,810
0,TP,i,1,811
1,FP,i,8,811
2,FN,i,3,811
3,TN,i,9,811
4,TP,ii,2,811
0,TP,i,5,812
1,FP,i,5,812
2,FN,i,5,812
3,TN,i,6,812
4,TP,ii,0,812
0,TP,i,4,813
1,FP,i,5,813
2,FN,i,5,813
3,TN,i,7,813
4,TP,ii,2,813
0,TP,i,3,814
1,FP,i,5,814
2,FN,i,6,814
3,TN,i,7,814
4,TP,ii,1,814
0,TP,i,3,815
1,FP,i,5,815
2,FN,i,4,815
3,TN,i,9,815
4,TP,ii,1,815
0,TP,i,3,816
1,FP,i,3,816
2,FN,i,5,816
3,TN,i,10,816
4,TP,ii,1,816
0,TP,i,3,817
1,FP,i,7,817
2,FN,i,6,817
3,TN,i,5,817
4,TP,ii,2,817
0,TP,i,3,818
1,FP,i,4,818
2,FN,i,8,818
3,TN,i,6,818
4,TP,ii,2,818
0,TP,i,4,819
1,FP,i,1,819
2,FN,i,3,819
3,TN,i,13,819
4,TP,ii,0,819
0,TP,i,3,820
1,FP,i,2,820
2,FN,i,6,820
3,TN,i,10,820
4,TP,ii,3,820
0,TP,i,2,821
1,FP,i,8,821
2,FN,i,4,821
3,TN,i,7,821
4,TP,ii,0,821
0,TP,i,2,822
1,FP,i,7,822
2,FN,i,4,822
3,TN,i,8,822
4,TP,ii,1,822
0,TP,i,1,823
1,FP,i,5,823
2,FN,i,8,823
3,TN,i,7,823
4,TP,ii,2,823
0,TP,i,2,824
1,FP,i,3,824
2,FN,i,7,824
3,TN,i,9,824
4,TP,ii,1,824
0,TP,i,0,825
1,FP,i,8,825
2,FN,i,7,825
3,TN,i,6,825
4,TP,ii,0,825
0,TP,i,2,826
1,FP,i,5,826
2,FN,i,5,826
3,TN,i,9,826
4,TP,ii,1,826
0,TP,i,6,827
1,FP,i,4,827
2,FN,i,8,827
3,TN,i,3,827
4,TP,ii,1,827
0,TP,i,3,828
1,FP,i,6,828
2,FN,i,7,828
3,TN,i,5,828
4,TP,ii,1,828
0,TP,i,1,829
1,FP,i,4,829
2,FN,i,9,829
3,TN,i,7,829
4,TP,ii,0,829
0,TP,i,4,830
1,FP,i,4,830
2,FN,i,3,830
3,TN,i,10,830
4,TP,ii,1,830
0,TP,i,4,831
1,FP,i,4,831
2,FN,i,5,831
3,TN,i,8,831
4,TP,ii,2,831
0,TP,i,1,832
1,FP,i,8,832
2,FN,i,5,832
3,TN,i,7,832
4,TP,ii,0,832
0,TP,i,3,833
1,FP,i,6,833
2,FN,i,7,833
3,TN,i,5,833
4,TP,ii,0,833
0,TP,i,4,834
1,FP,i,5,834
2,FN,i,8,834
3,TN,i,4,834
4,TP,ii,0,834
0,TP,i,2,835
1,FP,i,8,835
2,FN,i,2,835
3,TN,i,9,835
4,TP,ii,1,835
0,TP,i,1,836
1,FP,i,10,836
2,FN,i,5,836
3,TN,i,5,836
4,TP,ii,0,836
0,TP,i,3,837
1,FP,i,8,837
2,FN,i,3,837
3,TN,i,7,837
4,TP,ii,1,837
0,TP,i,2,838
1,FP,i,3,838
2,FN,i,11,838
3,TN,i,5,838
4,TP,ii,1,838
0,TP,i,2,839
1,FP,i,6,839
2,FN,i,5,839
3,TN,i,8,839
4,TP,ii,1,839
0,TP,i,1,840
1,FP,i,4,840
2,FN,i,8,840
3,TN,i,8,840
4,TP,ii,0,840
0,TP,i,2,841
1,FP,i,9,841
2,FN,i,5,841
3,TN,i,5,841
4,TP,ii,1,841
0,TP,i,1,842
1,FP,i,8,842
2,FN,i,6,842
3,TN,i,6,842
4,TP,ii,2,842
0,TP,i,3,843
1,FP,i,2,843
2,FN,i,5,843
3,TN,i,11,843
4,TP,ii,2,843
0,TP,i,1,844
1,FP,i,8,844
2,FN,i,8,844
3,TN,i,4,844
4,TP,ii,0,844
0,TP,i,2,845
1,FP,i,7,845
2,FN,i,9,845
3,TN,i,3,845
4,TP,ii,1,845
0,TP,i,1,846
1,FP,i,9,846
2,FN,i,1,846
3,TN,i,10,846
4,TP,ii,1,846
0,TP,i,4,847
1,FP,i,4,847
2,FN,i,5,847
3,TN,i,8,847
4,TP,ii,1,847
0,TP,i,2,848
1,FP,i,7,848
2,FN,i,5,848
3,TN,i,7,848
4,TP,ii,0,848
0,TP,i,3,849
1,FP,i,4,849
2,FN,i,8,849
3,TN,i,6,849
4,TP,ii,0,849
0,TP,i,3,850
1,FP,i,3,850
2,FN,i,9,850
3,TN,i,6,850
4,TP,ii,3,850
0,TP,i,0,851
1,FP,i,4,851
2,FN,i,7,851
3,TN,i,10,851
4,TP,ii,1,851
0,TP,i,4,852
1,FP,i,6,852
2,FN,i,2,852
3,TN,i,9,852
4,TP,ii,1,852
0,TP,i,4,853
1,FP,i,4,853
2,FN,i,8,853
3,TN,i,5,853
4,TP,ii,0,853
0,TP,i,3,854
1,FP,i,5,854
2,FN,i,6,854
3,TN,i,7,854
4,TP,ii,0,854
0,TP,i,2,855
1,FP,i,3,855
2,FN,i,5,855
3,TN,i,11,855
4,TP,ii,2,855
0,TP,i,3,856
1,FP,i,4,856
2,FN,i,4,856
3,TN,i,10,856
4,TP,ii,1,856
0,TP,i,4,857
1,FP,i,3,857
2,FN,i,5,857
3,TN,i,9,857
4,TP,ii,2,857
0,TP,i,1,858
1,FP,i,5,858
2,FN,i,6,858
3,TN,i,9,858
4,TP,ii,2,858
0,TP,i,5,859
1,FP,i,3,859
2,FN,i,4,859
3,TN,i,9,859
4,TP,ii,0,859
0,TP,i,3,860
1,FP,i,2,860
2,FN,i,5,860
3,TN,i,11,860
4,TP,ii,1,860
0,TP,i,2,861
1,FP,i,4,861
2,FN,i,4,861
3,TN,i,11,861
4,TP,ii,1,861
0,TP,i,2,862
1,FP,i,5,862
2,FN,i,6,862
3,TN,i,8,862
4,TP,ii,0,862
0,TP,i,4,863
1,FP,i,7,863
2,FN,i,4,863
3,TN,i,6,863
4,TP,ii,0,863
0,TP,i,3,864
1,FP,i,6,864
2,FN,i,2,864
3,TN,i,10,864
4,TP,ii,1,864
0,TP,i,0,865
1,FP,i,4,865
2,FN,i,5,865
3,TN,i,12,865
4,TP,ii,0,865
0,TP,i,1,866
1,FP,i,3,866
2,FN,i,8,866
3,TN,i,9,866
4,TP,ii,1,866
0,TP,i,2,867
1,FP,i,7,867
2,FN,i,1,867
3,TN,i,11,867
4,TP,ii,0,867
0,TP,i,3,868
1,FP,i,7,868
2,FN,i,3,868
3,TN,i,8,868
4,TP,ii,0,868
0,TP,i,1,869
1,FP,i,6,869
2,FN,i,6,869
3,TN,i,8,869
4,TP,ii,2,869
0,TP,i,1,870
1,FP,i,1,870
2,FN,i,6,870
3,TN,i,13,870
4,TP,ii,2,870
0,TP,i,3,871
1,FP,i,5,871
2,FN,i,3,871
3,TN,i,10,871
4,TP,ii,2,871
0,TP,i,0,872
1,FP,i,5,872
2,FN,i,8,872
3,TN,i,8,872
4,TP,ii,0,872
0,TP,i,2,873
1,FP,i,5,873
2,FN,i,4,873
3,TN,i,10,873
4,TP,ii,0,873
0,TP,i,3,874
1,FP,i,3,874
2,FN,i,6,874
3,TN,i,9,874
4,TP,ii,1,874
0,TP,i,1,875
1,FP,i,6,875
2,FN,i,1,875
3,TN,i,13,875
4,TP,ii,2,875
0,TP,i,1,876
1,FP,i,3,876
2,FN,i,9,876
3,TN,i,8,876
4,TP,ii,1,876
0,TP,i,4,877
1,FP,i,5,877
2,FN,i,7,877
3,TN,i,5,877
4,TP,ii,0,877
0,TP,i,2,878
1,FP,i,2,878
2,FN,i,7,878
3,TN,i,10,878
4,TP,ii,3,878
0,TP,i,1,879
1,FP,i,3,879
2,FN,i,7,879
3,TN,i,10,879
4,TP,ii,0,879
0,TP,i,2,880
1,FP,i,6,880
2,FN,i,9,880
3,TN,i,4,880
4,TP,ii,1,880
0,TP,i,4,881
1,FP,i,9,881
2,FN,i,3,881
3,TN,i,5,881
4,TP,ii,1,881
0,TP,i,0,882
1,FP,i,5,882
2,FN,i,7,882
3,TN,i,9,882
4,TP,ii,1,882
0,TP,i,2,883
1,FP,i,9,883
2,FN,i,2,883
3,TN,i,8,883
4,TP,ii,0,883
0,TP,i,5,884
1,FP,i,9,884
2,FN,i,2,884
3,TN,i,5,884
4,TP,ii,0,884
0,TP,i,1,885
1,FP,i,4,885
2,FN,i,9,885
3,TN,i,7,885
4,TP,ii,2,885
0,TP,i,3,886
1,FP,i,2,886
2,FN,i,5,886
3,TN,i,11,886
4,TP,ii,1,886
0,TP,i,0,887
1,FP,i,7,887
2,FN,i,6,887
3,TN,i,8,887
4,TP,ii,1,887
0,TP,i,4,888
1,FP,i,3,888
2,FN,i,3,888
3,TN,i,11,888
4,TP,ii,4,888
0,TP,i,4,889
1,FP,i,2,889
2,FN,i,7,889
3,TN,i,8,889
4,TP,ii,1,889
0,TP,i,2,890
1,FP,i,6,890
2,FN,i,3,890
3,TN,i,10,890
4,TP,ii,1,890
0,TP,i,4,891
1,FP,i,2,891
2,FN,i,5,891
3,TN,i,10,891
4,TP,ii,2,891
0,TP,i,1,892
1,FP,i,4,892
2,FN,i,8,892
3,TN,i,8,892
4,TP,ii,0,892
0,TP,i,4,893
1,FP,i,3,893
2,FN,i,5,893
3,TN,i,9,893
4,TP,ii,1,893
0,TP,i,2,894
1,FP,i,8,894
2,FN,i,7,894
3,TN,i,4,894
4,TP,ii,1,894
0,TP,i,1,895
1,FP,i,4,895
2,FN,i,4,895
3,TN,i,12,895
4,TP,ii,0,895
0,TP,i,1,896
1,FP,i,1,896
2,FN,i,7,896
3,TN,i,12,896
4,TP,ii,1,896
0,TP,i,2,897
1,FP,i,4,897
2,FN,i,4,897
3,TN,i,11,897
4,TP,ii,1,897
0,TP,i,6,898
1,FP,i,2,898
2,FN,i,4,898
3,TN,i,9,898
4,TP,ii,0,898
0,TP,i,1,899
1,FP,i,6,899
2,FN,i,8,899
3,TN,i,6,899
4,TP,ii,1,899
0,TP,i,1,900
1,FP,i,5,900
2,FN,i,6,900
3,TN,i,9,900
4,TP,ii,0,900
0,TP,i,3,901
1,FP,i,4,901
2,FN,i,8,901
3,TN,i,6,901
4,TP,ii,1,901
0,TP,i,2,902
1,FP,i,1,902
2,FN,i,9,902
3,TN,i,9,902
4,TP,ii,1,902
0,TP,i,4,903
1,FP,i,4,903
2,FN,i,5,903
3,TN,i,8,903
4,TP,ii,2,903
0,TP,i,2,904
1,FP,i,1,904
2,FN,i,8,904
3,TN,i,10,904
4,TP,ii,2,904
0,TP,i,2,905
1,FP,i,6,905
2,FN,i,2,905
3,TN,i,11,905
4,TP,ii,1,905
0,TP,i,3,906
1,FP,i,3,906
2,FN,i,7,906
3,TN,i,8,906
4,TP,ii,1,906
0,TP,i,3,907
1,FP,i,4,907
2,FN,i,7,907
3,TN,i,7,907
4,TP,ii,3,907
0,TP,i,0,908
1,FP,i,7,908
2,FN,i,9,908
3,TN,i,5,908
4,TP,ii,1,908
0,TP,i,3,909
1,FP,i,8,909
2,FN,i,3,909
3,TN,i,7,909
4,TP,ii,2,909
0,TP,i,3,910
1,FP,i,6,910
2,FN,i,6,910
3,TN,i,6,910
4,TP,ii,0,910
0,TP,i,2,911
1,FP,i,4,911
2,FN,i,7,911
3,TN,i,8,911
4,TP,ii,2,911
0,TP,i,3,912
1,FP,i,8,912
2,FN,i,3,912
3,TN,i,7,912
4,TP,ii,1,912
0,TP,i,4,913
1,FP,i,5,913
2,FN,i,8,913
3,TN,i,4,913
4,TP,ii,0,913
0,TP,i,1,914
1,FP,i,6,914
2,FN,i,6,914
3,TN,i,8,914
4,TP,ii,2,914
0,TP,i,3,915
1,FP,i,5,915
2,FN,i,7,915
3,TN,i,6,915
4,TP,ii,0,915
0,TP,i,3,916
1,FP,i,4,916
2,FN,i,9,916
3,TN,i,5,916
4,TP,ii,2,916
0,TP,i,2,917
1,FP,i,4,917
2,FN,i,7,917
3,TN,i,8,917
4,TP,ii,0,917
0,TP,i,5,918
1,FP,i,4,918
2,FN,i,6,918
3,TN,i,6,918
4,TP,ii,1,918
0,TP,i,3,919
1,FP,i,3,919
2,FN,i,6,919
3,TN,i,9,919
4,TP,ii,2,919
0,TP,i,0,920
1,FP,i,8,920
2,FN,i,4,920
3,TN,i,9,920
4,TP,ii,2,920
0,TP,i,3,921
1,FP,i,5,921
2,FN,i,6,921
3,TN,i,7,921
4,TP,ii,1,921
0,TP,i,2,922
1,FP,i,6,922
2,FN,i,8,922
3,TN,i,5,922
4,TP,ii,1,922
0,TP,i,3,923
1,FP,i,7,923
2,FN,i,4,923
3,TN,i,7,923
4,TP,ii,2,923
0,TP,i,1,924
1,FP,i,6,924
2,FN,i,4,924
3,TN,i,10,924
4,TP,ii,3,924
0,TP,i,4,925
1,FP,i,5,925
2,FN,i,5,925
3,TN,i,7,925
4,TP,ii,0,925
0,TP,i,2,926
1,FP,i,4,926
2,FN,i,6,926
3,TN,i,9,926
4,TP,ii,1,926
0,TP,i,5,927
1,FP,i,3,927
2,FN,i,5,927
3,TN,i,8,927
4,TP,ii,1,927
0,TP,i,4,928
1,FP,i,5,928
2,FN,i,3,928
3,TN,i,9,928
4,TP,ii,1,928
0,TP,i,3,929
1,FP,i,6,929
2,FN,i,5,929
3,TN,i,7,929
4,TP,ii,0,929
0,TP,i,4,930
1,FP,i,3,930
2,FN,i,5,930
3,TN,i,9,930
4,TP,ii,1,930
0,TP,i,4,931
1,FP,i,5,931
2,FN,i,5,931
3,TN,i,7,931
4,TP,ii,1,931
0,TP,i,5,932
1,FP,i,8,932
2,FN,i,3,932
3,TN,i,5,932
4,TP,ii,0,932
0,TP,i,6,933
1,FP,i,3,933
2,FN,i,4,933
3,TN,i,8,933
4,TP,ii,0,933
0,TP,i,4,934
1,FP,i,3,934
2,FN,i,5,934
3,TN,i,9,934
4,TP,ii,0,934
0,TP,i,1,935
1,FP,i,8,935
2,FN,i,7,935
3,TN,i,5,935
4,TP,ii,0,935
0,TP,i,1,936
1,FP,i,7,936
2,FN,i,4,936
3,TN,i,9,936
4,TP,ii,2,936
0,TP,i,3,937
1,FP,i,6,937
2,FN,i,3,937
3,TN,i,9,937
4,TP,ii,1,937
0,TP,i,5,938
1,FP,i,5,938
2,FN,i,6,938
3,TN,i,5,938
4,TP,ii,1,938
0,TP,i,0,939
1,FP,i,4,939
2,FN,i,5,939
3,TN,i,12,939
4,TP,ii,1,939
0,TP,i,3,940
1,FP,i,6,940
2,FN,i,6,940
3,TN,i,6,940
4,TP,ii,0,940
0,TP,i,5,941
1,FP,i,8,941
2,FN,i,2,941
3,TN,i,6,941
4,TP,ii,1,941
0,TP,i,2,942
1,FP,i,8,942
2,FN,i,5,942
3,TN,i,6,942
4,TP,ii,2,942
0,TP,i,2,943
1,FP,i,9,943
2,FN,i,4,943
3,TN,i,6,943
4,TP,ii,0,943
0,TP,i,1,944
1,FP,i,5,944
2,FN,i,8,944
3,TN,i,7,944
4,TP,ii,1,944
0,TP,i,4,945
1,FP,i,5,945
2,FN,i,6,945
3,TN,i,6,945
4,TP,ii,1,945
0,TP,i,4,946
1,FP,i,3,946
2,FN,i,4,946
3,TN,i,10,946
4,TP,ii,0,946
0,TP,i,0,947
1,FP,i,2,947
2,FN,i,8,947
3,TN,i,11,947
4,TP,ii,0,947
0,TP,i,2,948
1,FP,i,8,948
2,FN,i,4,948
3,TN,i,7,948
4,TP,ii,0,948
0,TP,i,1,949
1,FP,i,6,949
2,FN,i,6,949
3,TN,i,8,949
4,TP,ii,1,949
0,TP,i,3,950
1,FP,i,5,950
2,FN,i,8,950
3,TN,i,5,950
4,TP,ii,0,950
0,TP,i,2,951
1,FP,i,10,951
2,FN,i,3,951
3,TN,i,6,951
4,TP,ii,1,951
0,TP,i,1,952
1,FP,i,3,952
2,FN,i,8,952
3,TN,i,9,952
4,TP,ii,3,952
0,TP,i,3,953
1,FP,i,4,953
2,FN,i,6,953
3,TN,i,8,953
4,TP,ii,0,953
0,TP,i,2,954
1,FP,i,6,954
2,FN,i,5,954
3,TN,i,8,954
4,TP,ii,2,954
0,TP,i,7,955
1,FP,i,4,955
2,FN,i,6,955
3,TN,i,4,955
4,TP,ii,0,955
0,TP,i,1,956
1,FP,i,3,956
2,FN,i,9,956
3,TN,i,8,956
4,TP,ii,1,956
0,TP,i,0,957
1,FP,i,4,957
2,FN,i,10,957
3,TN,i,7,957
4,TP,ii,1,957
0,TP,i,4,958
1,FP,i,7,958
2,FN,i,6,958
3,TN,i,4,958
4,TP,ii,0,958
0,TP,i,4,959
1,FP,i,6,959
2,FN,i,6,959
3,TN,i,5,959
4,TP,ii,0,959
0,TP,i,0,960
1,FP,i,3,960
2,FN,i,8,960
3,TN,i,10,960
4,TP,ii,1,960
0,TP,i,7,961
1,FP,i,5,961
2,FN,i,4,961
3,TN,i,5,961
4,TP,ii,0,961
0,TP,i,2,962
1,FP,i,5,962
2,FN,i,4,962
3,TN,i,10,962
4,TP,ii,1,962
0,TP,i,4,963
1,FP,i,5,963
2,FN,i,3,963
3,TN,i,9,963
4,TP,ii,2,963
0,TP,i,4,964
1,FP,i,5,964
2,FN,i,3,964
3,TN,i,9,964
4,TP,ii,1,964
0,TP,i,1,965
1,FP,i,4,965
2,FN,i,10,965
3,TN,i,6,965
4,TP,ii,1,965
0,TP,i,2,966
1,FP,i,5,966
2,FN,i,8,966
3,TN,i,6,966
4,TP,ii,0,966
0,TP,i,1,967
1,FP,i,5,967
2,FN,i,5,967
3,TN,i,10,967
4,TP,ii,2,967
0,TP,i,2,968
1,FP,i,5,968
2,FN,i,5,968
3,TN,i,9,968
4,TP,ii,3,968
0,TP,i,2,969
1,FP,i,5,969
2,FN,i,5,969
3,TN,i,9,969
4,TP,ii,2,969
0,TP,i,1,970
1,FP,i,5,970
2,FN,i,7,970
3,TN,i,8,970
4,TP,ii,0,970
0,TP,i,3,971
1,FP,i,6,971
2,FN,i,3,971
3,TN,i,9,971
4,TP,ii,0,971
0,TP,i,2,972
1,FP,i,5,972
2,FN,i,7,972
3,TN,i,7,972
4,TP,ii,0,972
0,TP,i,1,973
1,FP,i,7,973
2,FN,i,6,973
3,TN,i,7,973
4,TP,ii,2,973
0,TP,i,2,974
1,FP,i,5,974
2,FN,i,8,974
3,TN,i,6,974
4,TP,ii,1,974
0,TP,i,3,975
1,FP,i,3,975
2,FN,i,8,975
3,TN,i,7,975
4,TP,ii,0,975
0,TP,i,2,976
1,FP,i,9,976
2,FN,i,5,976
3,TN,i,5,976
4,TP,ii,1,976
0,TP,i,2,977
1,FP,i,7,977
2,FN,i,5,977
3,TN,i,7,977
4,TP,ii,1,977
0,TP,i,3,978
1,FP,i,5,978
2,FN,i,5,978
3,TN,i,8,978
4,TP,ii,0,978
0,TP,i,1,979
1,FP,i,3,979
2,FN,i,7,979
3,TN,i,10,979
4,TP,ii,1,979
0,TP,i,3,980
1,FP,i,6,980
2,FN,i,6,980
3,TN,i,6,980
4,TP,ii,1,980
0,TP,i,3,981
1,FP,i,3,981
2,FN,i,7,981
3,TN,i,8,981
4,TP,ii,1,981
0,TP,i,2,982
1,FP,i,9,982
2,FN,i,1,982
3,TN,i,9,982
4,TP,ii,1,982
0,TP,i,5,983
1,FP,i,5,983
2,FN,i,7,983
3,TN,i,4,983
4,TP,ii,0,983
0,TP,i,4,984
1,FP,i,6,984
2,FN,i,7,984
3,TN,i,4,984
4,TP,ii,1,984
0,TP,i,5,985
1,FP,i,4,985
2,FN,i,4,985
3,TN,i,8,985
4,TP,ii,1,985
0,TP,i,1,986
1,FP,i,6,986
2,FN,i,7,986
3,TN,i,7,986
4,TP,ii,0,986
0,TP,i,4,987
1,FP,i,7,987
2,FN,i,2,987
3,TN,i,8,987
4,TP,ii,0,987
0,TP,i,3,988
1,FP,i,1,988
2,FN,i,6,988
3,TN,i,11,988
4,TP,ii,2,988
0,TP,i,3,989
1,FP,i,4,989
2,FN,i,5,989
3,TN,i,9,989
4,TP,ii,2,989
0,TP,i,5,990
1,FP,i,6,990
2,FN,i,5,990
3,TN,i,5,990
4,TP,ii,1,990
0,TP,i,1,991
1,FP,i,6,991
2,FN,i,7,991
3,TN,i,7,991
4,TP,ii,0,991
0,TP,i,3,992
1,FP,i,4,992
2,FN,i,5,992
3,TN,i,9,992
4,TP,ii,1,992
0,TP,i,1,993
1,FP,i,10,993
2,FN,i,5,993
3,TN,i,5,993
4,TP,ii,0,993
0,TP,i,1,994
1,FP,i,7,994
2,FN,i,6,994
3,TN,i,7,994
4,TP,ii,0,994
0,TP,i,1,995
1,FP,i,6,995
2,FN,i,6,995
3,TN,i,8,995
4,TP,ii,0,995
0,TP,i,2,996
1,FP,i,9,996
2,FN,i,3,996
3,TN,i,7,996
4,TP,ii,0,996
0,TP,i,1,997
1,FP,i,5,997
2,FN,i,4,997
3,TN,i,11,997
4,TP,ii,1,997
0,TP,i,2,998
1,FP,i,3,998
2,FN,i,7,998
3,TN,i,9,998
4,TP,ii,2,998
0,TP,i,2,999
1,FP,i,4,999
2,FN,i,2,999
3,TN,i,13,999
4,TP,ii,2,999
